IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2021,true,,,,,,,,,,,,,42.17,,,,,,42,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2021,true,,,,,,,,,,,,,58.3,,,,,,58,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2021,true,,,,,,,,,,,,,78.77,,,,,,79,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2021,true,,,,,,,,,,,,,84.85,,,,,,85,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2019,false,,,,,,,,,,,,,41.87,,,,,,42,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2019,false,,,,,,,,,,,,,58.6,,,,,,59,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2019,false,,,,,,,,,,,,,76.6,,,,,,77,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2019,false,,,,,,,,,,,,,84.53,,,,,,85,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2017,false,,,,,,,,,,,,,41.44,,,,,,41,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2017,false,,,,,,,,,,,,,56.41,,,,,,56,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2017,false,,,,,,,,,,,,,77.46,,,,,,77,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2017,false,,,,,,,,,,,,,84.46,,,,,,84,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2015,false,,,,,,,,,,,,,37.47,,,,,,37,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2015,false,,,,,,,,,,,,,53.83,,,,,,54,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2015,false,,,,,,,,,,,,,74.76,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2015,false,,,,,,,,,,,,,83.85,,,,,,84,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2010,false,,,,,,,,,,,,,35.07,,,,,,35,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2010,false,,,,,,,,,,,,,46.76,,,,,,47,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2010,false,,,,,,,,,,,,,67.23,,,,,,67,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2010,false,,,,,,,,,,,,,80.86,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2005,false,,,,,,,,,,,,,30.93,,,,,,31,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2005,false,,,,,,,,,,,,,54.35,,,,,,54,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2005,false,,,,,,,,,,,,,60.78,,,,,,61,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2005,false,,,,,,,,,,,,,78.55,,,,,,79,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LI,Low-income,Year,2000,false,,,,,,,,,,,,,27.5,,,,,,28,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_LMI,Lower-middle-income,Year,2000,false,,,,,,,,,,,,,47.53,,,,,,48,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_UMI,Upper-middle-income,Year,2000,false,,,,,,,,,,,,,61.75,,,,,,62,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,World Bank income group,WB_HI,High-income,Year,2000,false,,,,,,,,,,,,,74.66,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
